Demands,,Unit
"RateOfDemand[r,l,f,y]>=0",Intermediate variable. It represents the energy that would be demanded in one time slice l if the latter lasted the whole year. It is a function of  the parameters SpecifiedAnnualDemand and SpecifiedDemandProfile. ,Energy
,,(per year)
"Demand[r,l,f,y]>=0",Demand for one fuel in one time slice. ,Energy
Storage,,
"RateOfStorageCharge[r,s,ls,ld,lh,y]",Intermediate variable. It represents the commodity that would be charged to the storage facility s in one time slice if the latter lasted the whole year. It is a function of the RateOfActivity and the parameter TechnologyToStorage. ,Energy
,,(per year)
"RateOfStorageDischarge[r,s,ls,ld,lh,y]",Intermediate variable. It represents the commodity that would be discharged from storage facility s in one time slice if the latter lasted the whole year. It is a function of  the RateOfActivity and the parameter TechnologyFromStorage. ,Energy
,,(per year)
"NetChargeWithinYear[r,s,ls,ld,lh,y]",Net quantity of commodity charged to storage facility s in year y. It is a function of the RateOfStorageCharge and the RateOfStorageDischarge and it can be negative.,Energy
"NetChargeWithinDay[r,s,ls,ld,lh,y]",Net quantity of commodity charged to storage facility s in daytype ld. It is a function of the RateOfStorageCharge and the RateOfStorageDischarge and can be negative.,Energy
"StorageLevelYearStart[r,s,y]>=0",Level of stored commodity in storage facility s in the first time step of year y.,Energy
"StorageLevelYearFinish[r,s,y]>=0",Level of stored commodity in storage facility s in the last time step of year y.,Energy
"StorageLevelSeasonStart[r,s,ls,y]>=0",Level of stored commodity in storage facility s in the first time step of season ls.,Energy
"StorageLevelDayTypeStart[r,s,ls,ld,y]>=0",Level of stored commodity in storage facility s in the first time step of daytype ld.,Energy
"StorageLevelDayTypeFinish[r,s,ls,ld,y]>=0",Level of stored commodity in storage facility s in the last time step of daytype ld.,Energy
"StorageLowerLimit[r,s,y]>=0","Minimum allowed level of stored commodity in storage facility s, as a function of the storage capacity and the user-defined MinStorageCharge ratio.",Energy
"StorageUpperLimit[r,s,y]>=0",Maximum allowed level of stored commodity in storage facility s. It corresponds to the total existing capacity of storage facility s (summing newly installed and pre-existing capacities).,Energy
"AccumulatedNewStorageCapacity[r,s,y]>=0",Cumulative capacity of newly installed storage from the beginning of the time domain to year y.,Energy
"NewStorageCapacity[r,s,y]>=0",Capacity of newly installed storage in year y.,Energy
"CapitalInvestmentStorage[r,s,y]>=0",Undiscounted investment in new capacity for storage facility s. Derived from the NewStorageCapacity and the parameter CapitalCostStorage.,Monetary units
"DiscountedCapitalInvestmentStorage[r,s,y]>=0","Investment in new capacity for storage facility s, discounted through the parameter DiscountRate. ",Monetary units
"SalvageValueStorage[r,s,y]>=0","Salvage value of storage facility s in year y, as a function of the parameters OperationalLifeStorage and DepreciationMethod.",Monetary units
"DiscountedSalvageValueStorage[r,s,y]>=0","Salvage value of storage facility s, discounted through the parameter DiscountRate.",Monetary units
"TotalDiscountedStorageCost[r,s,y]>=0",Difference between the discounted capital investment in new storage facilities and the salvage value in year y.,Monetary units
Capacity variables,,
